编号,id,微博正文,发布时间,情绪
11,4381418874322724,我都有点佩服我自己了，我重疾54万，加寿险60万，每年保费才6000不到。大概分别在10个不同的保险公司投保的，只买性价比最好的。前几天买了个20万寿险，保费才182元。不会搭配的人，114万的保额，起码每年保费2万+[抱拳]其实保险学问真的很深的，很多人从来研究，就直接找身边的朋友买了，买了也不会看合同。只知道盲目的交钱，听人吹牛。唉，如果个个都研究保险，自己能对比性价比，我估计做线下保险的都要失业了吧！！,2019-06-09 23:45:00,"(excitement,0.4),(pride,0.3),(amusement,0.2),(frustration,0.1)"
12,4385762264814423,#腾讯新闻#《教育部统计：2019年最吃香的专业，毕业不失业，工作容易找！》O教育部统计：2019年最吃香的专业，毕业不失业，工作容易找！来自@腾讯新闻,2019-06-21 23:24:00,"(joy,0.5),(surprise,0.3),(excitement,0.2)"
13,4381777390858480,你觉得自己一点都不惨那我不是失业了吗，你的惨以后我来卖就可以了，我困得眼皮堆到一起都好几层了，开始养生，再掉一根头发就不姓戴了，睡得越早越聪明知道吗傻白甜？@-戴戴戴景耀-,2019-06-10 23:30:00,
14,4385761971721970,我要失业了,2019-06-21 23:23:00,"(sadness,0.8),(frustration,0.2)"
15,4380696347002759,【午盘：降息预期提振美股上扬科技股领涨】美股周五午盘继续攀升，科技股领涨。美国5月非农就业人数增加7.5万远逊预期，失业率为3.6%，薪资增速放缓。非农就业数据公布后，市场预期美联储的降息概率增大。美东时间6月7日11：52，道指涨288.35点，或1.12%，报26009.01点；标普500指数涨33.74点，或1.19%，报2877.23点；纳指涨128.16点，或1.68%，报7743.71点。O午盘：降息预期提振美股上扬科技股领涨,2019-06-07 23:54:00,"(happiness,0.5),(optimism,0.3),(excitement,0.2)"
16,4448441721254447,#令人心动的offer#女性不敢怀孕的四大原因让我想起了去面试的时候面试官会问你有没有男朋友什么时候结婚之类的问题，说白了，女性怀孕其实就是怕失业，否则谁愿意怀孕还这么拼L邮鉴的微博视频,2019-12-11 22:30:00,"(sadness,0.4),(fear,0.3),(anger,0.2),(frustration,0.1)"
17,4383947229785762,早上空腹抽了五管血回到家全身乏力只想睡觉——今天才真正意识到我失业了如果不是穷谁愿意上班呢,2019-06-16 23:12:00,"(sadness,0.3),(powerlessness,0.1)"
18,4381774882982847,对不起，我好累。我不知道自己活下去的意义是什么，我的心态又崩了。我想考研，可我也不知道自己考研为了什么，可能只是本科成绩太差了，毕业即失业，也可能是学校太差了想去一个更高的平台。可我现在连能不能毕业都很难说，考研和研究生生活更是充满未知数。我觉得自己很垃圾，什么都不配。,2019-06-10 23:20:00,"(frustration,0.4),(confusion,0.3),(desperation,0.2)"
19,4448282501540483,《马云没有说谎！又一个“铁饭碗”失业，全新支付方式来临》这些年来由于网络的普及，国内科技企业如雨后春笋一般出现，有些还成为了全球知名的巨头，比如说阿里巴巴。O网页链接,2019-12-11 11:57:00,"(excitement,0.4),(satisfaction,0.3),(pride,0.2)"
20,4382864097253454,失业下的深圳中年O失业下的深圳中年,2019-06-13 23:28:00,"(sadness,0.6),(frustration,0.3),(despair,0.1)"
21,4383225809740389,父母永远是不满意的高考出分后不满意研究生考了两年不满意失业半年不满意找到了工作不满意公务员考了两年不满意做代购不满意单身不满意找对象不满意长得胖不满意干什么都不满意我是不优秀的未来我想做一个孩子做什么我都开心只要他平安的母亲,2019-06-14 23:25:00,"(happiness,0.6),(glad,0.3),(welcome,0.1)"
22,4381415837631832,因为airbnb天天喊我英文名，还不带姓的那种，Baodan这样子，然后天天被我看成Baolan，心想，爪子，虽然确实是短暂失业了也没得空全世界旅游,2019-06-09 23:33:00,"(frustration,0.4),(amusement,0.3),(sadness,0.2),(confusion,0.1)"
23,4382135521872275,我不爱他，您早就失业了吧！我哥都不嫌我们烦，凭什么轮到你说闭嘴啊！每次忍着不骂你，难道你真以为自己很好吗！还不是我们怕我哥为难！,2019-06-11 23:13:00,"(anger,0.4),(disgust,0.3),(frustration,0.2),(sarcastic,0.1)"
24,4382859827170029,#关于二胎#关于二胎我是非常理智的，或者说是因为我穷。要二胎，首先你要做好生完之后至少三四个月不用上班却有经济来源的准备，而我没有，二胎我会失业，会万劫不复。其次做好了二胎之后心甘情愿有人帮带的准备，而我也没有，或者说我不情愿让谁谁谁帮带。一胎的教训太刻骨铭心了，我再也不想过那样的日子。所以那时候我就和我老公说过，我有条件自己带我就二胎，否则免谈。直到现在，这个想法未从改变。,2019-06-13 23:11:00,"(frustration,0.8),(sadness,0.4),(desperation,0.3),(determination,0.5)"
25,4384320065706263,凤姐远赴他乡，李丽从此失业。东莞崛起，是因为时代需要。不要等到花儿都谢了再去招惹蜂蝶。趁早浪，有人舔。,2019-06-17 23:53:00,"(sadness,0.45),(frustration,0.35),(urgency,0.2)"
26,4385034703786496,【tv夜聊】感谢孟🕊堂老师的空降，让濒临失业的一台有了有意义的内容。感谢渠淏老师的纠正，给您在二台安排头条了。今晚聊什么呢...［挠头.jpg］,2019-06-19 23:13:00,
27,4385756217013775,累了这个月每周工作都要出错水逆🙃总不能骂自己蠢吧大概是在失业的边缘试探向生活低头我不能倒下我还要还下个月的花呗@怨千丝,2019-06-21 23:00:00,"(frustration,0.8),(disappointment,0.4),(anxiety,0.2),(sadness,0.1)"
28,4382857478498811,衰退的真正含义是你的邻居失业了；萧条的真正含义是你自己失业了；崩溃则是指国家和你一起“失业”了。,2019-06-13 23:01:00,"(anger,0.4),(frustration,0.3),(despair,0.2)"
29,4385398061265916,#华为阅读分享#另外，城镇居民和农村居民相比较而言，更多的城镇居民因为住房条件差(39.5%)、家人或亲戚朋友失业(38%)、工作状况不如意(27.2%)而感到不幸福；更多的农村居民因为健康状况(26.9%)、儿女问题(15.5%)、缺乏知识和技能(10.7%)感到不幸福。...幸福就是想上进，能上进，知道为什么上进！你呢？,2019-06-20 23:17:00,"(sadness,0.5),(frustration,0.3),(worried,0.2)"
30,4380689917218727,#量化对冲基金#【美国5月非农速评】美国5月非农数据大幅弱于预期，新增就业仅7.5万人，创3个月以来新低，薪资增幅降温，暗示总体经济疲软。在贸易局势升温的情况下，可能提高外界对美联储降息的呼声。今天美国总统特朗普就再次呼吁美联储降息，称如果不加息美股将比现在高一万点。事实上，美股期货在非农数据出炉短暂走低后，迅速反弹。根据目前有效的联邦基金利率2.38%的定价，这意味着美联储今年降息的幅度将超过50个基点。同时，美国失业率继续维持在数十年低位（3.6%），说明美国就业市场的劳动力供不应求，雇主很难找到合适的雇员，美国劳动力就业市场存在结构性挑战。,2019-06-07 23:28:00,"(urgency,0.5),(caution,0.3),(optimism,0.2)"
31,4385769084830162,要保住工作，不要失业，很遗憾啊，保住很难呐--------是。不要负债，有点存款准备更好，挣不来就勤俭节约，失业自己决定了不了，自己的钱自己能管理好也行。,2019-06-21 23:51:00,"(happiness,0.2),(sadness,0.6),(frustration,0.2)"
32,4381058352880962,#以团之名出道就是失业##创造营2019#不看好。完全被wjjw掌控了。如果队员不够分散，不好运作～且第二期中心人物显然不如第一期，灵魂不够强大。不看好这期男团。还有就是颜值整体偏低……不懂为什么有张颜齐yaochen再来个zhaolei，不是说一定要长得好，但是男团要洋气啊……那种艺人的高大上气质不再，如何第一？O网友总结以团之名出道就是失业，你赞同吗？是否看好现在的创造营？,2019-06-08 23:52:00,"(happiness,0.3),(glad,0.4),(disappointment,0.2),(doubt,0.1)"
33,4382500119696000,"当很多人指望你给做饭洗衣,指望你赚钱养家,指望你天天签大单,你有时候觉得自己很强大，有时候也觉得自己快崩溃了。也许这就是中年人吧。不敢病不敢死，不敢失业。所有的人都指着你，你却没有一个可以指望的人。人到中年不如狗。O网页链接",2019-06-12 23:21:00,
34,4448434020603452,@阎鹤祥这是寡妇失业再就业吗？,2019-12-11 21:59:00,"(angry,0.8),(frustration,0.2),(disappointment,0.1)"
35,4448396532561866,#石家庄身边事#【空调器安装、商超收银都可以“考证”了！河北发布42个专项职业能力考核名录】为配合大规模开展职业技能培训工作，河北省人社厅新近推出42个专项职业能力考核项目，为河北农村转移就业劳动者、城乡未升学初高中毕业生、城镇下岗失业人员、退役军人、回乡创业等人员学习职业技能、考取相应证书提供了新渠道。专项职业能力考核以技能操作为主，一般不进行理论知识测试，技能操作水平达到技术要求即可。专项职业能力不分等级，个人自愿报名，由人社部门组织考核及核发证书。参加培训和考核的人员，可按规定享受政策补贴。更多详情↓↓（河北日报）,2019-12-11 19:30:00,"(joy,0.6),(optimism,0.3),(urgency,0.1)"
36,4383590022045481,我妈妈从夜市搬了回来今天正式失业了,2019-06-15 23:32:00,"(sadness,0.7),(frustration,0.2),(disappointment,0.1)"
37,4385032057414076,想念失业的那一百天,2019-06-19 23:02:00,"(sadness,0.7),(nostalgia,0.3)"
38,4380321275903184,植发有什么危害吗？@头发多网?妈耶，。本来就高我可能要失业了，做平面模特真的特别不容易，我能怎么办啊，我也很绝望啊，额头太大了、这个世界上我只羡慕有头发的人害怕植发失败，一直在犹豫，最近终于下决心去种头发了，想了解下在苏州南京上海西安福州杭州青岛济南宁波义乌潍坊做植发m字头植发、男性O型秃顶植发有比较靠谱的正规医院推荐吗，网上看到科发源、荔湾植发、光仁植发不知道靠谱不？,2019-06-06 23:03:00,"(frustration,0.4),(hesitation,0.3),(desperation,0.2),(insecurity,0.1)"
39,4385405212279655,学校的事还没忙完然后就被催的开始找工作了在哪里找工作哇毕业即失业真对,2019-06-20 23:45:00,"(anger,0.4),(frustration,0.3),(urgency,0.2)"
40,4380696711708973,一直以来我都把郑州当做了我的避风港，觉得好像当我在上海待不下去的时候，我就可以跑到郑州躲起来过我安逸舒适的日子。然而事实是，没有挣钱的能力，呆在哪里都是蜗居。在失业率如此高的情况下，能够一毕业就找到一个薪水还算可以的工作真的已经很不错了，还有什么不满足的呢。这两天钻牛角尖，自己难过也就算了，还要拉着一个垫背的，委屈了某人了。不过这次的矛盾并非没有意义，它坚定了我留在上海的决心。,2019-06-07 23:55:00,"(happiness,0.4),(frustration,0.3),(determination,0.2),(satisfaction,0.1)"
41,4385767113478913,#林大为失业#父母在孩子心中永远是可依靠的大树，但是面对生活父母要承受的是来自四面八方的压力，少年派中的老爸林大为也为事业难题颓废不已，生活总是有晴天有雨天，希望父母和孩子都能坚强面对#父母最让人心疼的瞬间#L电视剧少年派的微博视频,2019-06-21 23:43:00,"(sadness,0.4),(frustration,0.3),(hope,0.2),(love,0.1)"
42,4380682710938618,端午临中夏，时清日复长安康失业快乐(✪▽✪),2019-06-07 23:00:00,"(happiness,0.8),(calmness,0.2),(relaxation,0.1),(happiness,0.8),(calmness,0.2),(relaxation,0.1)"
43,4383228569660989,看着儿子一天天长大，像个大人一样坐在座位上吃饭，还有每次下班回家走过来抱着我的腿抬头看我的时候，我觉得生活有种无以名状的情感，一会儿让你吃尽苦头，一会儿又给你点甜好让你冲淡苦涩，我终究活成了自己不愿意看到的自己，就算把内心无比强大，却是感到无比孤独。孩子你是天上派来的天使，下来凡间每天鼓励我，督促我成为更好的自己。可是你知道妈妈内心的恐惧吗？这个时代变化特别的快，我越来越感到现实的可怕：贫穷，疾病，偏见，分裂，迫害，失业……感到自己的抗击能力已经不再带着自信，生活就像是一张无知的黑网……,2019-06-14 23:36:00,"(sadness,0.5),(fear,0.3),(loneliness,0.2)"
44,4382507224599703,把最好的脾气给了陌生人把最差的耐心都给了亲人长大，好像是一个逐渐学会说“算了”的过程。有的人说，毕业季的时候，眼看着各奔东西了，散伙饭的时候喝了好多酒，莫名其妙地哭。心里总有种感觉，以后能在各自婚礼上见一面，可能都是奢侈。后来工作忙，曾经的信誓旦旦，也都被工作和生活锤没了。激情被磨灭，只能算了。有的人说，大环境不好，找工作的时候，面试十几家公司，终于有录用我的了。试用期，上午还在努力干活，下午就被劝退。那种挫败感就像被一只手握住了心脏，实在是喘不过气来。付出得不到回报，于是算了。有的说，是在结束一段很投入的感情之后。有一天偷偷点开已经被拉黑的微信号，却发现对方已经早早换了情侣头像，于是自己一个人蹲在小声厕所抽泣。没想到，连我都算了。这时候，你还会陷入自我怀疑中：“我没做错事，为什么会这样？”但是，再到后来随着年龄的增长，在人来人往、生老病死中，你会发现，我们这一生总是在不断遇见，不断分别。而时间不一定是个良药。它并不能治愈一切，你还是会记得自己受到的伤害，并且刻骨铭心。不会原谅，大抵是一句算了。你学会了承担，不再任性。后来，分手了没哭，那只是生活的淤青，妈妈的一句唠叨，却能让你红了眼眶。失业了不会哭，跌倒了还能再爬起来，心里骂一句，老子有的是地方去。可是，回家后看到爸爸悄悄长出的白发，却击破了眼泪最后的防线。对啊，曾经他们托住你，你可以一往无前。可是某天你蓦然回首，却惊觉他们开始变老了。就在那一天，你意识到，必须尽快长大，去成为独当一面的大人了。于是，工作压力虽然大，也能从容面对了，需要你的人很多，所以要变得更加坚强。虽然有时候会感到孤独，好像这个世界上的快乐都与你无关，但还是会咬咬牙坚持下去。再后来，不管是房贷、车贷，这些生活的压力像乱拳一样打开，你也都能接住。这时候你以为你自以为已经身穿盔甲、刀枪不入了，可是还会被空中飞来的一根羽毛挠到泪点。这根羽毛，可能就是亲人的那么一句“别那么累，要不咱回家吧。”这时候你还是会强撑着，扭过头去，假装打了个喷嚏，不让他们看到这些眼泪。毕竟，在成年人的世界里，大风大浪依然安稳，却会因为一丝涟漪就波涛汹涌。那些值得你哭泣的人，曾陪你走过谷底，也陪你见过高山。而那些曾撩拨心弦的感动，都化作了甘霖，成就了现在最好的你。怎么能算了呢？所谓算了，只不过是一些不值得的人，算了。非原创，侵权删。,2019-06-12 23:50:00,"(happiness,0.4),(sadness,0.6),(nostalgia,0.2),(determination,0.8)"
45,4382504868294760,毕业即失业,2019-06-12 23:40:00,
46,4385038743092790,#一颗芒果引发的下跪风波#如果不是善良热心民警王海港的一封调解信，估计48岁还在送快递的中年女人会真被罚款并失业，因为这个行业“顾客就是上帝“。而那个热爱投诉的年轻男人，会啃着因为少“0.3两”而赔偿的一大袋芒果，琢磨下一次的投诉～都是可怜人，相煎何太急。,2019-06-19 23:29:00,"(anger,0.5),(frustration,0.3),(sarcasm,0.2)"
47,4381413258055282,我最近真的丧对什么都提不起劲可能是第一次经历了连美食都治愈不了的痛苦对一些人可能觉得没什么大不了但对于我这真的很重要至于宝贝的👗首先是注水母猪打扰了jz节奏其次只对我而言上次已经allin现在又处于失业状态实在没办法再用父母的钱只能靠兄弟姐妹们加油了我会尽快走出低谷工作赚钱养崽崽,2019-06-09 23:23:00,"(sadness,0.7),(frustration,0.3),(desperation,0.2),(determination,0.8)"
48,4383224563764599,今年各种借钱咋这么多，烦死，别找我借钱啊啊啊啊，其他都可以，我也要生活，现在都失业了,2019-06-14 23:20:00,"(frustration,0.7),(sadness,0.3),(urgency,0.2)"
49,4382141662599329,作为一个失业老阿姨，我很开心每天二十四小时都能找到人跟我聊天,2019-06-11 23:37:00,"(happiness,0.7),(joy,0.3),(satisfaction,0.2)"
50,4383582426267610,热爱祖国，这是一种最纯洁、最敏锐、最高尚、最强烈、最温柔、最有情、最温存、最严酷的感情。一个真正热爱祖国的人，在各个方面都是一个真正的人。---苏霍姆林斯基失业。好愁啊,2019-06-15 23:02:00,"(love,0.8),(proud,0.2),(respect,0.1),(sadness,0.1),(anger,0.1)"
51,4382495871068126,“科技的发展一定程度上把人从简单繁琐的劳动中解放出来，去做更有趣更有意义的事情。所以我们与其担心面临失业，不如把精力放在磨练自己的能力上。”zhuan,2019-06-12 23:05:00,"(excitement,0.4),(hope,0.3),(aspiration,0.3)"
52,4381059703544310,像我这种自制能力近乎为0的人以后真的要流浪街头了读什么书读书工作了要还这样哪家公司敢要你失业警告❗当街乞讨警告❗,2019-06-08 23:58:00,"(anger,0.7),(frustration,0.3),(disappointment,0.2),(fear,0.1)"
53,4383222428899503,宝马车里，父亲对儿子说：“听说你们学校最近搞什么贫困助学金，你呀，也学学人家去申请，就称父亲失业，母亲卧病在床，学校准批！”儿子微怒：“可是，咱家不需要啊，你这不是骗人吗！”父亲瞪大眼：“不要白不要，几千块钱可以给你换只iphone6……”,2019-06-14 23:12:00,"(anger,0.6),(sarcasm,0.3),(frustration,0.1)"
54,4381047901064952,【小舟的日记】2019.6.8心在滴血，心痛到无法呼吸。我得上两天班才能挣回来两百块钱，而且现在还马上就失业。比我去北京的车票都贵了,2019-06-08 23:11:00,"(anger,0.7),(frustration,0.3),(sadness,0.2),(fear,0.1)"
55,4380697000924481,你不能再这么成天玩玩玩了！就算失业！也得干点正事！我对正在淘宝买乐高的自己咆哮到,2019-06-07 23:56:00,"(anger,0.7),(frustration,0.3),(irony,0.2),(sarcasm,0.1)"
56,4383224715225504,今天拥有的不代表你明天也会拥有。今天你胡乱地花钱，你明天可能会失业；今天你拥有名和利，要学会谦虚，如果你继续贡高我慢，可能明天你会失去一切。所以学fo的人要看到未来，未来的人要学会低调做人、高调做事，要明白，任何人都是有本事的，不能把别人看低。总之，学fo做人要低调，成功就会增加多一点，不要因为人间的烦恼而想不通，因为生活本来就是很痛苦的。当你能够“接受有，承受无”的时候，你的境界才会真正地提高。想自在的人就要开悟，那就叫明心见性啊！🎀🎀,2019-06-14 23:21:00,"(happiness,0.4),(glad,0.2),(calm,0.1),(wise,0.3)"
57,4384319893769749,一个即将面临失业的人。,2019-06-17 23:53:00,"(anger,0.5),(fear,0.4),(sadness,0.1)"
58,4385756115857117,【剑桥大学#研究称每周工作8小时有利心理健康#，你同意吗？】剑桥大学和索尔福德大学的研究表明，每周工作8小时最有利于心理健康。当人们从失业或者全职父母的状态变成每周工作8小时，患心理健康问题的风险平均降低了30％。他们建议周末延长为五天，每工作一个月休息两个月。网友：假的，难道不是0小时吗？L老板联播的秒拍视频,2019-06-21 23:00:00,"(joy,0.45),(skepticism,0.35),(amusement,0.2),(surprise,0.05)"
59,4448430850356463,8个国家首次设立孔子学院#全球小康·人类失业·小康经济学#中国领导力论坛#守护香港##央视时代风向标栏目#转发…O8个国家首次设立孔子学院,2019-12-11 21:47:00,"(interest,0.5),(surprise,0.3),(informative,0.2)"
60,4448396549386854,今天最为沉重的一天，浓浓的危机感，像中间失业人群一样无处可去，今年行情不好，好多公司裁员，今天领导说明年公司要转型18个人的岗位要缩减到8个人，我心里很难受，很难受，一份年终报告都要放心上压抑很久，我的伙伴们要去哪里？他们会被淘汰掉吗？我应该怎么处理？这份心情还不能传达给他们！哎，大家活着都好不容易！,2019-12-11 19:30:00,"(sorrow,0.8),(anxiety,0.2),(insecurity,0.1),(frustration,0.1)"
61,4383224588998214,可能失业的焦虑感又来了希望我能顺利渡过难关生存真的很艰难我妈今晚已经开始对我甩脸色了,2019-06-14 23:20:00,"(anxiety,0.6),(hope,0.3),(difficulty,0.1)"
62,4380696510406241,#浙江省考成绩##浙江省考面试#美国劳工部最新数据显示5月招聘大幅放缓，5月非农就业人口低于2018年的平均非农就业人口22.3万人/月。这种放缓可能反映了一系列好坏不齐的因素。贸易紧张形势和全球经济增速放缓这两方面的担忧会导致雇主想要抓住这一机会，但这并不是唯一的影响因素，制造业对贸易有着巨大敞口，5月份新增就业人数很低，而州和地方政府的就业人数减少了1.9万，这很可能意味着50年低位的失业率导致雇主难以寻求到其渴望的求职者。,2019-06-07 23:54:00,"(worry,0.4),(caution,0.3),(unsure,0.2),(disappointment,0.1)"
63,4380334743111605,最近感悟：生活节奏好像很糟糕失业女青年开始迷茫了方向但姐姐和妈妈出乎意料的没太多责备甚至怕我难过（让家人担心真是失败的大人阿）也开始越来越受很多网友喜爱（虽然我都是高p）但被人喜欢始终是幸福又幸运的虽然是网络无形中却给了我很多温柔的力量所以即便前路是雾霾天但我还是不遗余力的热爱拥抱生活只要活着就一定会有好事发生/,2019-06-06 23:57:00,"(happiness,0.6),(glad,0.3),(welcome,0.1)"
64,4383594200158268,明天是父亲节。想记录下我的老爸。我的老爸不善于表达，是个典型的悲观主义者，有时讲话也不太中听，很会焦虑，过于操心事。可是，想来真的是一个一心为家，非常负责非常靠谱的老爸了，我老妈真的🈶️福气。记忆中的爸爸，初中未毕业，但斯文不粗俗，会让我们练字的同时，自己也练字；会一边干活，一边给我们辅导数学竞赛。会自己在家后院种好多的花，会自己用石头牡蛎壳设计盆景假山，那时候，我就在蹲在一旁看着，津津有味，充满崇拜，觉得老爸太会生活了。为了养家，爸爸失业时学过馒头，油条，做过麻花，一遍遍让我们试吃。后来又尝试凌晨三四点就去进货海产品，摆摊创业，到如今开了多年的干货店，真是一段段的普通老百姓奋斗史。我曾经跟着爸爸，上批发城进货，一条街走来走去反复看货，那一下午只记得真不容易。店铺旺季时，也跟着在当店小妹多年，忙到口干，腿酸，轮流蹲角落吃饭，体会了累就一个字。爸爸愈来愈老去，各种原因，常常还是如弦在心间，太在乎别人，不能很好地享受当下，自在洒脱。希望老爸能够慢慢放下心里的担子，多爱自己，少操心，宽心享受人生的下一阶段。,2019-06-15 23:49:00,"(love,0.4),(respect,0.3),(pride,0.2),(nostalgia,0.1)"
